video,label,elbow_mean_idle,straight_ratio_idle,tripod_ratio,com_over_base_ratio,wall_dist_idle,wall_dist_move,wall_push_ratio,jerk_move,leg_drive_ratio,_n_frames,_n_moves,_idle_frames
E27.mp4,expert,164.79070731038914,0.8672086720867209,0.1837160751565762,0.5427974947807933,0.07113807000116236,0.19250262612742142,2.7060419134769456,0.07549085527680864,0.7315132523759308,479,3,369
E28.mp4,expert,133.528378442552,0.3917525773195876,0.04672897196261682,0.12149532710280374,0.09908306363036129,0.08355038919719326,0.8432357428564019,0.010771786779918404,0.5144451122335412,428,5,291
E29.mp4,expert,140.32512302686163,0.41935483870967744,0.3801369863013699,0.8184931506849316,0.07660494918672167,0.0944528487079115,1.2329860848523695,0.014342420837386927,0.6413203678578884,584,5,434
E30.mp4,expert,161.5257184389326,0.8548672566371681,0.029831387808041506,0.5888456549935149,0.07976093636449445,0.12956885507558435,1.6244648663454408,0.021615870391591917,0.6163331467343808,771,4,565
E31.mp4,expert,138.7473002695199,0.2226027397260274,0.12424242424242424,0.296969696969697,0.15021925575922293,0.14870482409310887,0.9899184591373156,0.1256259194273089,0.24360067019831058,330,3,292
E32.mp4,expert,62.020258980650105,0.0,0.0,0.006622516556291391,0.04739913192170382,0.030013232430211506,0.6332020204034242,1.739180073068323,0.17679729704710737,302,2,238
E33.mp4,expert,146.92930693418154,0.5317460317460317,0.3276661514683153,0.5780525502318392,0.10092744445662223,0.13252595674349388,1.3130813360645337,0.08939376946481482,0.42190748302409964,647,8,504
E34.mp4,expert,110.80349404559152,0.39473684210526316,0.195,0.485,0.03921488385147123,0.041785535685306935,1.0655526913721138,0.8507156147502746,0.8763176807892914,200,3,114
E35.mp4,expert,149.29407611003217,0.6625916870415648,0.1762208067940552,0.802547770700637,0.15035101104623205,0.061791766597816176,0.4109833519442184,1.1050296553594015,0.3900818490837365,471,4,409
E36.mp4,expert,127.48010036472051,0.2367601246105919,0.43037974683544306,0.43544303797468353,0.11165971232543909,0.12199953360511401,1.092601083580872,0.04658416038064012,0.24410163349695446,395,4,321
E37.mp4,expert,107.6886863286154,0.22377622377622378,0.4012158054711246,0.8936170212765957,0.04788694679830991,0.05167367398366701,1.0790761710188848,0.19290355621283964,0.39285356346917144,329,1,286
E38.mp4,expert,150.28612398485757,0.4367816091954023,0.0,0.19318181818181818,0.04105676513419246,0.04821787039234597,1.1744193311517466,0.016382770622841356,0.22285719167671844,440,7,261
E39.mp4,expert,116.53854384696018,0.3005464480874317,0.10480349344978165,0.37554585152838427,0.026950970420487986,0.04742473455221228,1.7596663947765052,0.6861128625337877,0.5551913782041685,229,2,183
E40.mp4,expert,145.0530732802947,0.6113602391629297,0.15558343789209536,0.6135508155583438,0.15238937252649906,0.12943159415692362,0.8493478483280599,0.021830906224044905,0.5945581391558583,797,6,669
E41.mp4,expert,151.80354509465474,0.6928571428571428,0.0599250936329588,0.27715355805243447,0.07474782262237249,0.031563596328880006,0.4222677129427941,0.6303847701809691,0.37023585055998415,267,1,140
E42.mp4,expert,125.65497742285093,0.2032258064516129,0.0020325203252032522,0.3130081300813008,0.1413210914150315,0.14525959404482414,1.0278691051113882,0.020789743648046487,0.5663690239405121,492,4,310
E43.mp4,expert,104.72962852111733,0.16101694915254236,0.0,0.0,0.02822953103869658,0.04229757781371355,1.4983445092406122,0.008929615777981788,0.12411644461313276,325,3,236
E44.mp4,expert,146.13449906564608,0.5722222222222222,0.23310810810810811,0.5929054054054054,0.15786215385536917,0.12998829476265134,0.8234290699432232,0.010253578801139626,0.5335917652577294,592,6,360
E45.mp4,expert,119.68811517385038,0.13333333333333333,0.0,0.20334261838440112,0.0717860081432547,0.18408727465689356,2.564388991314894,0.02175346001546988,0.33449018878361114,359,2,270
E46.mp4,expert,123.22980868130408,0.2664756446991404,0.39544513457556935,0.6583850931677019,0.12891297925145498,0.15517180689662752,1.2036941180066243,0.008550422215048982,0.4397445091925996,483,6,349
E47.mp4,expert,140.1193901469591,0.5980392156862745,0.11954022988505747,0.8896551724137931,0.20717431136705458,0.0723860067290797,0.3493966156202924,0.3098149073376624,0.766862879008845,435,1,408
E48.mp4,expert,117.23600487737058,0.3065326633165829,0.6629526462395543,0.6991643454038997,0.14339744928869344,0.17926226505346465,1.250107679331799,0.023464933256386683,0.4824742115342465,359,3,199
E49.mp4,expert,113.491402016756,0.21,0.08609271523178808,0.6357615894039735,0.0710833596600395,0.058564625087238725,0.8238864500561465,0.026090478518947687,0.5636785130111616,453,2,400
